 tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium tritium
lat_bins -80 -70 -60 -50 -40 -30 -20 -10 0 10 20 30 40 50 60 70 80
time                 
1953.495890411 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.002292468
1953.580821918 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.001181136
1953.665753425 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.002847510
1953.747945205 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.003975689
1953.832876712 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526666667 1.825000000 3.485000000 3.110000000 8.972093867 4.816666667 5.650000000 21.006039504
1953.915068493 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526669965 1.825005864 3.485043150 3.110227709 8.972219895 4.816934537 5.650000000 21.010565590
1954.000000000 3.110000000 3.110000000 2.583333333 2.039096774 1.942857143 1.130000000 2.700000000 0.720714286 1.280000000 1.526688554 1.825038916 3.485286358 3.111511163 8.972930238 4.818444353 5.650000000 21.013733170
1954.084931507 3.110452783 3.110452783 2.583540449 2.039254627 1.943084154 1.130119890 2.700063071 0.720791854 1.280169309 1.526944688 1.825510099 3.486213454 3.114055048 8.974320160 4.820521651 5.653269869 21.023968574
1954.161643836 3.111120710 3.111120710 2.583858662 2.039502161 1.943424029 1.130308386 2.700148621 0.720940817 1.280392958 1.527261560 1.826043483 3.487352985 3.117550556 8.976167123 4.824123800 5.656830339 21.031667155
1954.246575342 3.112080257 3.112080257 2.584315712 2.039858947 1.943911493 1.130580188 2.700270743 0.721162109 1.280708551 1.527698257 1.826800653 3.488924584 3.122367151 8.978671384 4.828602903 5.662951156 21.045423270
1954.328767123 3.113226773 3.113226773 2.584861135 2.040284809 1.944493555 1.130904734 2.700417144 0.721427327 1.281086029 1.528220224 1.827712736 3.490805514 3.128013509 8.981654559 4.833853787 5.670263171 21.061995222
1954.413698630 3.114652106 3.114652106 2.585540931 2.040815308 1.945218425 1.131309244 2.700599133 0.721757877 1.281556573 1.528876817 1.828834557 3.493170616 3.135092376 8.985467266 4.841062150 5.678185317 21.078917819
1954.495890411 3.116291962 3.116291962 2.586320686 2.041423692 1.946050316 1.131773290 2.700808678 0.722138404 1.282096924 1.529625413 1.830148723 3.495859859 3.143481143 8.989729552 4.848343352 5.689790380 21.106294624
1954.580821918 3.118277984 3.118277984 2.587267224 2.042162755 1.947059815 1.132336872 2.701062684 0.722601528 1.282751683 1.530535472 1.831711957 3.499137559 3.153009673 8.995006920 4.858263573 5.700499022 21.128566647
